,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-08-05,29075.388671875,29102.46484375,28957.796875,29042.126953125,29042.126953125,6598366353
1,2023-08-06,29043.701171875,29160.822265625,28963.833984375,29041.85546875,29041.85546875,7269806994
2,2023-08-07,29038.513671875,29244.28125,28724.140625,29180.578125,29180.578125,13618163710
3,2023-08-08,29180.01953125,30176.796875,29113.814453125,29765.4921875,29765.4921875,17570561357
4,2023-08-09,29766.6953125,30093.435546875,29376.80078125,29561.494140625,29561.494140625,18379521213
5,2023-08-10,29563.97265625,29688.564453125,29354.447265625,29429.591796875,29429.591796875,11865344789
6,2023-08-11,29424.90234375,29517.7734375,29253.517578125,29397.71484375,29397.71484375,10195168197
7,2023-08-12,29399.787109375,29465.11328125,29357.587890625,29415.96484375,29415.96484375,6194358008
8,2023-08-13,29416.59375,29441.43359375,29265.806640625,29282.9140625,29282.9140625,7329897180
9,2023-08-14,29283.263671875,29660.25390625,29124.10546875,29408.443359375,29408.443359375,14013695304
10,2023-08-15,29408.048828125,29439.12109375,29088.853515625,29170.34765625,29170.34765625,12640195779
11,2023-08-16,29169.07421875,29221.9765625,28701.779296875,28701.779296875,28701.779296875,14949271904
12,2023-08-17,28699.802734375,28745.947265625,25409.111328125,26664.55078125,26664.55078125,31120851211
13,2023-08-18,26636.078125,26808.1953125,25668.921875,26049.556640625,26049.556640625,24026236529
14,2023-08-19,26047.83203125,26249.44921875,25802.408203125,26096.205078125,26096.205078125,10631443812
15,2023-08-20,26096.861328125,26260.681640625,26004.314453125,26189.583984375,26189.583984375,9036580420
16,2023-08-21,26188.69140625,26220.201171875,25846.087890625,26124.140625,26124.140625,13371557893
17,2023-08-22,26130.748046875,26135.5078125,25520.728515625,26031.65625,26031.65625,14503820706
18,2023-08-23,26040.474609375,26786.8984375,25804.998046875,26431.640625,26431.640625,16985265785
19,2023-08-24,26431.51953125,26554.91015625,25914.92578125,26162.373046875,26162.373046875,12871532023
20,2023-08-25,26163.6796875,26248.103515625,25786.8125,26047.66796875,26047.66796875,12406045118
21,2023-08-26,26047.234375,26107.384765625,25983.87890625,26008.462890625,26008.462890625,6034817316
22,2023-08-27,26008.2421875,26165.373046875,25965.09765625,26089.693359375,26089.693359375,6913768611
23,2023-08-28,26089.615234375,26198.578125,25880.599609375,26106.150390625,26106.150390625,11002805166
24,2023-08-29,26102.486328125,28089.337890625,25912.62890625,27727.392578125,27727.392578125,29368391712
25,2023-08-30,27726.083984375,27760.16015625,27069.20703125,27297.265625,27297.265625,16343655235
26,2023-08-31,27301.9296875,27456.078125,25752.9296875,25931.47265625,25931.47265625,20181001451
27,2023-09-01,25934.021484375,26125.869140625,25362.609375,25800.724609375,25800.724609375,17202862221
28,2023-09-02,25800.91015625,25970.28515625,25753.09375,25868.798828125,25868.798828125,10100387473
29,2023-09-03,25869.47265625,26087.1484375,25817.03125,25969.56640625,25969.56640625,8962524523
30,2023-09-04,25968.169921875,26081.525390625,25657.025390625,25812.416015625,25812.416015625,10680635106
31,2023-09-05,25814.95703125,25858.375,25589.98828125,25779.982421875,25779.982421875,11094740040
32,2023-09-06,25783.931640625,25953.015625,25404.359375,25753.236328125,25753.236328125,12752705327
33,2023-09-07,25748.3125,26409.302734375,25608.201171875,26240.1953125,26240.1953125,11088307100
34,2023-09-08,26245.208984375,26414.005859375,25677.48046875,25905.654296875,25905.654296875,10817356400
35,2023-09-09,25905.42578125,25921.9765625,25810.494140625,25895.677734375,25895.677734375,5481314132
36,2023-09-10,25895.2109375,25978.130859375,25640.26171875,25832.2265625,25832.2265625,7899553047
37,2023-09-11,25831.71484375,25883.947265625,24930.296875,25162.654296875,25162.654296875,14600006467
38,2023-09-12,25160.658203125,26451.939453125,25133.078125,25833.34375,25833.34375,18657279324
39,2023-09-13,25837.5546875,26376.11328125,25781.123046875,26228.32421875,26228.32421875,13072077070
40,2023-09-14,26228.27734375,26774.623046875,26171.451171875,26539.673828125,26539.673828125,13811359124
41,2023-09-15,26533.818359375,26840.498046875,26240.701171875,26608.693359375,26608.693359375,11479735788
42,2023-09-16,26606.19921875,26754.76953125,26473.890625,26568.28125,26568.28125,7402031417
43,2023-09-17,26567.927734375,26617.998046875,26445.07421875,26534.1875,26534.1875,6774210670
44,2023-09-18,26532.994140625,27414.734375,26415.515625,26754.28125,26754.28125,15615339655
45,2023-09-19,26760.8515625,27488.763671875,26681.60546875,27211.1171875,27211.1171875,13807690550
46,2023-09-20,27210.228515625,27379.505859375,26864.08203125,27132.0078125,27132.0078125,13281116604
47,2023-09-21,27129.83984375,27152.939453125,26389.30078125,26567.6328125,26567.6328125,13371443708
48,2023-09-22,26564.056640625,26726.078125,26495.533203125,26579.568359375,26579.568359375,10578746709
49,2023-09-23,26578.556640625,26634.185546875,26520.51953125,26579.390625,26579.390625,7404700301
50,2023-09-24,26579.373046875,26716.05859375,26221.05078125,26256.826171875,26256.826171875,8192867686
51,2023-09-25,26253.775390625,26421.5078125,26011.46875,26298.48046875,26298.48046875,11997833257
52,2023-09-26,26294.7578125,26389.884765625,26090.712890625,26217.25,26217.25,9985498161
53,2023-09-27,26209.498046875,26817.841796875,26111.46484375,26352.716796875,26352.716796875,11718380997
54,2023-09-28,26355.8125,27259.5,26327.322265625,27021.546875,27021.546875,14079002707
55,2023-09-29,27024.841796875,27225.9375,26721.763671875,26911.720703125,26911.720703125,10396435377
56,2023-09-30,26911.689453125,27091.794921875,26888.96875,26967.916015625,26967.916015625,5331172801
57,2023-10-01,26967.396484375,28047.23828125,26965.09375,27983.75,27983.75,9503917434
58,2023-10-02,27976.798828125,28494.458984375,27347.787109375,27530.78515625,27530.78515625,19793041322
